Job,Company,Location,Status,Date
accounts payable specialist,ComplyAdvantage,Cluj,Not specified,2023-11-19
risk manager,Garanti BBVA Leasing Romania,Bucharest,Actively Hiring,2023-11-01
business administrator,Colt Technology Services,Sibiu,Be an early applicant,2023-11-15
project manager,Open Systems International,Cluj-Napoca,Actively Hiring,2023-11-20
supply chain manager,ManpowerGroup,Sibiu,Actively Hiring,2023-11-18
business analyst,ALTEN Romania,Bucharest,Actively Hiring,2023-09-23
senior accountant,Adecco,Curtea de Argeş,Be an early applicant,2023-11-15
business consultant erp implementation,TotalSoft,Bucharest,Not specified,2023-07-25
mergers acquisitions manager eastern europe mediterranean,KONE,Bucharest,Actively Hiring,2023-11-20
account manager,McCann Worldgroup Romania,Bucharest,Actively Hiring,2023-11-19
finance development program fresh graduates,Dell Technologies,Bucharest,Actively Hiring,2023-11-21
procurement officer,Sameday Romania,Bucharest,Not specified,2023-11-15
accounts payable clerk,Nidec Oradea,Oradea,Be an early applicant,2023-11-08
credit analyst,Core Recruit,Bucharest,Be an early applicant,2023-11-15
junior auditor financial services industry clujnapoca office,Deloitte,Cluj-Napoca,Actively Hiring,2023-11-15
senior audit associate financial services,PwC Romania,Bucharest,Actively Hiring,2023-11-08
sr credit risk officer,First Bank SA,Bucharest,Actively Hiring,2023-11-17
financial services sustainability consultant esg,PwC Romania,Bucharest,Actively Hiring,2023-11-15
sr customer data analyst,Alpha Bank Romania,Bucharest,Actively Hiring,2023-11-15
administrative assistant g roster,"UNHCR, the UN Refugee Agency",Bucharest,Not specified,2023-10-23
head administration,Stada România,Turda,Actively Hiring,2023-11-18
general ledger accountant,Huawei,Bucharest,Actively Hiring,2023-11-01
finance controller germany,Siemens Energy,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
finance administrator,HICX,Constanţa,Not specified,2023-10-23
financial planning analysis junior temporary,JTI (Japan Tobacco International),Bucharest,Actively Hiring,2023-11-08
accounting analyst french,Societe Generale Global Solution Centre Romania,Bucharest,Actively Hiring,2023-10-23
group credit manager,Scandia Food,Bucharest,Not specified,2023-11-18
junior accounting consultant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
treasury manager eu bank,Revolut,Romania,Be an early applicant,2023-11-19
settlement reconciliation officer,Twispay,Bucharest Metropolitan Area,Not specified,2023-11-08
finance academy graduates programme,Endava,Cluj-Napoca,Be an early applicant,2023-11-08
business analyst,NETOPIA Payments,Bucharest,Actively Hiring,2023-11-17
finance controlling expert,Allianz Services,Bucharest Metropolitan Area,Be an early applicant,2023-11-21
accountant,Remote,Bucharest Metropolitan Area,Not specified,2023-10-23
financial analyst,Canonical,Cluj-Napoca,Not specified,2023-11-08
growth strategy analyst,Salt Bank,Bucharest,Actively Hiring,2023-11-01
customer operation specialist graduate role,HP,Bucharest Metropolitan Area,Be an early applicant,2023-11-08
purchasing manager,ManpowerGroup,Bucharest,Actively Hiring,2023-11-19
financial controlleranalyst,Hipo.ro Jobs,Miercurea-Ciuc,Be an early applicant,2023-10-23
senior accountant,Adecco,Bucharest Metropolitan Area,Actively Hiring,2023-11-01
power bi developer romania,Delbridge Solutions,Bucharest,Not specified,2023-07-25
junior financial analyst solution business,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
chief accountant,Vola.ro,Bucharest,Actively Hiring,2023-11-15
entry level model risk analyst,BNP Paribas,Bucharest,Be an early applicant,2023-11-08
junior financial analyst,Vertiv,Cluj-Napoca,Actively Hiring,2023-11-01
financial controller onsite,Antal International,Harghita,Be an early applicant,2023-10-23
senior accountant,Hays,Bucharest,Actively Hiring,2023-11-01
senior reporting analyst,PRO TV,Bucharest,Not specified,2023-11-01
treasurer,INTERBRANDS ORBICO,Bucharest,Be an early applicant,2023-11-01
senior account manager,EveryMatrix,Bucharest,Actively Hiring,2023-11-15
junior auditor,Grant Thornton Romania,Bucharest,Actively Hiring,2023-06-25
information technology service delivery manager,Ahold Delhaize,Bucharest,Actively Hiring,2023-10-23
legal counsel,Printec Group,Bucharest,Actively Hiring,2023-10-23
accounts payable year contract,Garrett - Advancing Motion,Bucharest Metropolitan Area,Actively Hiring,2023-11-01
deputy chief accountant,INTERBRANDS ORBICO,Bucharest,Be an early applicant,2023-09-23
executive assistant ceo,Help Net Farma,Bucharest,Be an early applicant,2023-10-23
junior financial analyst,Vertiv,Cluj-Napoca,Actively Hiring,2023-11-19
resource manager,ReBound,Bucharest,Actively Hiring,2023-11-15
junior accountant,Ness Digital Engineering,Iaşi,Actively Hiring,2023-10-23
junior accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-15
marketing operations specialist,Tradeshift,Bucharest,Be an early applicant,2023-11-19
finance manager,Exec-Tech,Bucharest,Actively Hiring,2023-10-23
finance contract manager mfd,GOPA Consulting Group,Bucharest,Not specified,2023-10-23
finance manager,The Goodyear Tire & Rubber Company,Bucharest,Be an early applicant,2023-11-21
business analyst,Yopeso,Romania,Not specified,2023-08-24
retail collection officer,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-07-25
accounting specialist,Samsung Electronics Romania,Bucharest,Not specified,2023-11-20
senior associate audit assurance,PwC Romania,Bucharest,Actively Hiring,2023-10-23
sales account officer bucuresti,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
risk analyst risk projects unit,BRD - Groupe Societe Generale,Bucharest,Actively Hiring,2023-11-15
commercial finance analyst,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
commercial project manager,Sobi - Swedish Orphan Biovitrum AB (publ),Bucharest,Be an early applicant,2023-10-28
test analyst,BNP Paribas Personal Finance,Bucharest,Actively Hiring,2023-11-19
loan capital market expert,BCR,Bucharest,Actively Hiring,2023-11-01
category planner,BAT,Bucharest,Actively Hiring,2023-11-08
junior analyst accounts payable english,BAT,Bucharest,Actively Hiring,2023-11-15
controlling reporting analyst,Allianz Services,Bucharest,Be an early applicant,2023-09-23
growth manager,Pearson,Romania,Not specified,2023-11-08
lead football trader,EveryMatrix,Bucharest,Be an early applicant,2023-11-08
accountant,Sinova,Ciulnița,Be an early applicant,2023-11-15
senior manager accounts payable europe new markets,BeiGene,Romania,Not specified,2023-11-15
controlling manager,Smart HR Romania,Cluj,Be an early applicant,2023-11-21
group product cost controller,Preh Romania,Ghimbav,Be an early applicant,2023-11-08
financial controller site cluj napoca,Antal International,Cluj-Napoca,Be an early applicant,2023-10-23
jr accounts assistant,POTENTIAM LTD,Iasi Metropolitan Area,Actively Hiring,2023-11-01
bookkeeper,ADEL INVEST,Bucharest,Be an early applicant,2023-11-21
assistant comptable,Societe Generale Global Solution Centre Romania,Bucharest,Be an early applicant,2023-11-15
finance business partner commercial,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-23
senior accountant,Edenred Romania,Bucharest,Not specified,2023-11-19
junior chief staff,Emma – The Sleep Company,Bucharest,Not specified,2023-09-23
customer services xaas governance lead,Deutsche Bank,Bucharest,Actively Hiring,2023-10-23
financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
senior associate capital markets accounting advisory services fs,PwC Romania,Bucharest,Be an early applicant,2023-11-15
auditor,Banca Transilvania,Bucharest Metropolitan Area,Actively Hiring,2023-11-21
risk analyst,BRD - Groupe Societe Generale,Bucharest,Actively Hiring,2023-05-26
gl accountant english,Coface,Bucharest,Actively Hiring,2023-11-17
global head sales finance services industry,Canonical,Bucharest,Not specified,2023-06-25
financial controller,GatedTalent - Connecting Top Executive Search Firms And Executives,Bucharest Metropolitan Area,Be an early applicant,2023-10-23
data reporting specialist excel,Samsung Electronics Romania,Bucharest,Not specified,2023-11-20
accountant middle level,GABTEO HR,Bucharest,Be an early applicant,2023-10-23
business analyst,Luxoft,Bucharest Metropolitan Area,Actively Hiring,2023-10-25
chief staff kyu,Societe Generale,Bucharest,Actively Hiring,2023-11-08
senior accountant,ManpowerGroup,Curtea de Argeş,Be an early applicant,2023-11-08
credit risk ifrs manager,PwC Romania,Bucharest,Actively Hiring,2023-11-15
sales senior financial markets,Raiffeisen Bank Romania,Bucharest,Be an early applicant,2023-11-20
financial controller,Worldline,Bucharest,Be an early applicant,2023-11-19
finance accounting manager,Undelucram.ro,Bucharest,Not specified,2023-10-23
senior accountant,Adecco,Bucharest,Actively Hiring,2023-11-17
financial controller,FAIST Mekatronic,Oradea,Be an early applicant,2023-11-19
commercial director romania east europe gas trading division site bucharest,Antal International,Bucharest,Actively Hiring,2023-11-01
customer success manager leading ecommerce education program ro,SellerPlex,Romania,Not specified,2023-11-01
financial advisor,ASIROM - Vienna Insurance Group,Bucharest,Be an early applicant,2023-11-17
sales analyst,NALA Natural Cosmetics,Romania,Actively Hiring,2023-11-21
finance analytics expert,UiPath,Bucharest,Actively Hiring,2023-11-08
junior accountant,Ness Digital Engineering,Timisoara Metropolitan Area,Actively Hiring,2023-11-08
corporate financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
auditor junior,Contexpert,Bucharest,Be an early applicant,2023-10-23
trade marketing distribution manager,Landewyck,Romania,Actively Hiring,2023-11-19
senior group internal auditor,Coface,Bucharest,Actively Hiring,2023-11-15
junior accountant,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-08
accounting consultant,EY,Bucharest,Actively Hiring,2023-11-08
officeexecutive assistant,Grant Thornton Romania,Bucharest,Be an early applicant,2023-09-23
purchasing specialist,ASEE,Bucharest Metropolitan Area,Actively Hiring,2023-11-15
legal compliance officer,XP,Bucharest,Actively Hiring,2023-11-15
accounting reporting specialist fmd,SIG Group,Cluj-Napoca,Be an early applicant,2023-11-01
financial advisor transaction services,PwC Romania,Bucharest,Be an early applicant,2023-11-21
global head sales finance services industry,Canonical,Timişoara,Be an early applicant,2023-07-25
card acquiring manager,Garanti BBVA Romania,Bucharest,Actively Hiring,2023-11-08
junior media planner,GroupM,Bucharest Metropolitan Area,Be an early applicant,2023-11-08
finance officer operations romania,World Vision,Bucharest,Be an early applicant,2023-04-26
junior business controller,DB Schenker,Bucharest,Be an early applicant,2023-11-19
senior consultant people analytics,Vodafone,Bucharest,Actively Hiring,2023-11-08
kyc advisory analyst wholesale banking french,Societe Generale Global Solution Centre Romania,Bucharest Metropolitan Area,Actively Hiring,2023-10-23
credit controller,Gilbarco Veeder-Root,Bucharest,Be an early applicant,2023-11-08
financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
senior financial analyst,Siemens Energy,Bucharest,Be an early applicant,2023-10-28
data analyst finance,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-11-01
technical recruiter,Faptic Technology,Romania,Not specified,2023-11-01
software business analyst,MAS PLC,Bucharest,Actively Hiring,2023-11-19
finance administration coordinator romania,HIAS,Bucharest,Be an early applicant,2023-11-19
internal auditor,Braze,Bucharest,Be an early applicant,2023-11-20
operations specialist project based,Adecco,Romania,Actively Hiring,2023-11-21
global real estate manager,LeasePlan,Bucharest,Actively Hiring,2023-08-24
accounting controller assistant,Marsh McLennan,Bucharest,Be an early applicant,2023-11-15
junior controller,Undelucram.ro,Timisoara Metropolitan Area,Be an early applicant,2023-11-19
general ledger frexl,Human Direct,Cluj-Napoca,Be an early applicant,2023-10-23
senior financial controller,Hipo.ro Jobs,Bucharest,Be an early applicant,2023-10-25
strategic operational almsenior associate,UniCredit Bank Romania,Bucharest,Actively Hiring,2023-11-08
senior internal auditor risk management,UniCredit Bank Romania,Bucharest,Actively Hiring,2023-11-15
senior financial analyst,BAT,Bucharest,Actively Hiring,2023-11-15
financial controller,Worldline,Bucharest,Actively Hiring,2023-11-19
financial accountant analyst,Accenture,Bucharest,Actively Hiring,2023-10-23
deal flow analyst acquisitions accelerator ro,SellerPlex,Romania,Be an early applicant,2023-11-19
senior group internal auditor,Coface,Bucharest,Be an early applicant,2023-11-15
